Classification Name,Classification Code,Country Name,Country Code,Time,Time Code,Percent of the population who cannot afford a healthy diet [CoHD_headcount]
Food Prices for Nutrition 2.1,FPN 2.1,Romania,ROU,2021,YR2021,7
Food Prices for Nutrition 2.1,FPN 2.1,Russian Federation,RUS,2021,YR2021,2.6
Food Prices for Nutrition 2.1,FPN 2.1,Rwanda,RWA,2021,YR2021,82
Food Prices for Nutrition 2.1,FPN 2.1,Sao Tome and Principe,STP,2021,YR2021,78.2
Food Prices for Nutrition 2.1,FPN 2.1,Saudi Arabia,SAU,2021,YR2021,..
Food Prices for Nutrition 2.1,FPN 2.1,Senegal,SEN,2021,YR2021,44.8
Food Prices for Nutrition 2.1,FPN 2.1,Serbia,SRB,2021,YR2021,10.3
Food Prices for Nutrition 2.1,FPN 2.1,Seychelles,SYC,2021,YR2021,7.5
Food Prices for Nutrition 2.1,FPN 2.1,Sierra Leone,SLE,2021,YR2021,83.5
Food Prices for Nutrition 2.1,FPN 2.1,Singapore,SGP,2021,YR2021,..
Food Prices for Nutrition 2.1,FPN 2.1,Sint Maarten (Dutch part),SXM,2021,YR2021,..
Food Prices for Nutrition 2.1,FPN 2.1,Slovak Republic,SVK,2021,YR2021,1.2
Food Prices for Nutrition 2.1,FPN 2.1,Slovenia,SVN,2021,YR2021,0
Food Prices for Nutrition 2.1,FPN 2.1,South Africa,ZAF,2021,YR2021,66.7
Food Prices for Nutrition 2.1,FPN 2.1,South Asia,SAS,2021,YR2021,73
Food Prices for Nutrition 2.1,FPN 2.1,Spain,ESP,2021,YR2021,1.8
Food Prices for Nutrition 2.1,FPN 2.1,Sri Lanka,LKA,2021,YR2021,58.2
Food Prices for Nutrition 2.1,FPN 2.1,St. Kitts and Nevis,KNA,2021,YR2021,..
Food Prices for Nutrition 2.1,FPN 2.1,St. Lucia,LCA,2021,YR2021,27.2
Food Prices for Nutrition 2.1,FPN 2.1,St. Vincent and the Grenadines,VCT,2021,YR2021,..
Food Prices for Nutrition 2.1,FPN 2.1,Sub-Saharan Africa,SSF,2021,YR2021,84.3
Food Prices for Nutrition 2.1,FPN 2.1,Sudan,SDN,2021,YR2021,85.6
Food Prices for Nutrition 2.1,FPN 2.1,Suriname,SUR,2021,YR2021,58.6
Food Prices for Nutrition 2.1,FPN 2.1,Sweden,SWE,2021,YR2021,0.6
Food Prices for Nutrition 2.1,FPN 2.1,Switzerland,CHE,2021,YR2021,0
Food Prices for Nutrition 2.1,FPN 2.1,Taiwan,TWN,2021,YR2021,..
Food Prices for Nutrition 2.1,FPN 2.1,Tajikistan,TJK,2021,YR2021,45.8
Food Prices for Nutrition 2.1,FPN 2.1,Tanzania,TZA,2021,YR2021,85
Food Prices for Nutrition 2.1,FPN 2.1,Thailand,THA,2021,YR2021,18
Food Prices for Nutrition 2.1,FPN 2.1,Togo,TGO,2021,YR2021,..
Food Prices for Nutrition 2.1,FPN 2.1,Trinidad and Tobago,TTO,2021,YR2021,9.9
Food Prices for Nutrition 2.1,FPN 2.1,Tunisia,TUN,2021,YR2021,17.2
Food Prices for Nutrition 2.1,FPN 2.1,T�rkiye,TUR,2021,YR2021,5.8
Food Prices for Nutrition 2.1,FPN 2.1,Turks and Caicos Islands,TCA,2021,YR2021,..
Food Prices for Nutrition 2.1,FPN 2.1,Uganda,UGA,2021,YR2021,82.2
Food Prices for Nutrition 2.1,FPN 2.1,United Arab Emirates,ARE,2021,YR2021,0.1
Food Prices for Nutrition 2.1,FPN 2.1,United Kingdom,GBR,2021,YR2021,0.4
Food Prices for Nutrition 2.1,FPN 2.1,United States,USA,2021,YR2021,1
Food Prices for Nutrition 2.1,FPN 2.1,Upper middle income,UMC,2021,YR2021,13.1
Food Prices for Nutrition 2.1,FPN 2.1,Uruguay,URY,2021,YR2021,5.2
Food Prices for Nutrition 2.1,FPN 2.1,Vietnam,VNM,2021,YR2021,21
Food Prices for Nutrition 2.1,FPN 2.1,West Bank and Gaza,PSE,2021,YR2021,15.3
Food Prices for Nutrition 2.1,FPN 2.1,WORLD,WLD,2021,YR2021,41.7
Food Prices for Nutrition 2.1,FPN 2.1,Zambia,ZMB,2021,YR2021,90.1
Food Prices for Nutrition 2.1,FPN 2.1,Zimbabwe,ZWE,2021,YR2021,..
